Month,Time,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
Jan,0,69.9,69,69.5,68.1,68.3,68.9,69.2
,1,69,68.4,68.7,67.5,67.9,68.5,69.5
,2,68.8,67.4,68.3,66,67.2,68.3,69.1
,3,68.6,68.6,68.6,67.1,67.8,68.6,69.3
,4,68.7,70.2,70.1,68.5,69.3,69.7,69.5
,5,70.5,70.7,70.8,70.1,70.2,70.6,70.7
,6,70.9,61.5,59.7,59.6,60.4,62.9,70.3
,7,71,51.9,51.2,49.1,52.8,53.7,70
,8,72.3,54.8,52.8,50.4,52,51.8,71.3
,9,71.7,55.5,53.6,53.9,53.8,50.1,71.2
,10,70.9,62,57.1,53.7,57,55.3,70.9
,11,69.4,66.4,66.8,64,64.2,65.8,70.5
,12,69.7,68.8,68.8,68.1,67.4,67,70.1
,13,67.6,67.8,68.1,68.1,67.7,65.4,69.3
,14,70.2,60.9,68.1,66.7,61.9,57.2,67.4
,15,69.8,58.2,59.7,56.7,56.3,48.3,66.3
,16,69.8,53.2,51.6,49.2,51.6,47.7,67.4
,17,70.3,52,47.3,48.2,50.9,46.3,67.9
,18,68.2,48,46.8,47.3,48.9,46.9,66
,19,69.3,57.3,59.8,57,54.7,60.9,64.8
,20,69.8,66.2,68.5,68.8,66.9,65.6,68.9
,21,70.2,67.3,69,69.3,69.2,69.2,68.8
,22,70.2,68.9,69.4,69.3,69.4,69.4,69.2
,23,70,68.9,69.6,69,69.2,69.7,70
Feb,0,68.5,68.9,68.9,69,69,69,68.8
,1,69,68.4,68.2,68.6,68.5,68.5,69.2
,2,68.8,67.3,67.9,68,68,68.3,69.2
,3,67.7,67.7,68.8,68.4,68.6,68.6,69.1
,4,66.5,69.7,70.6,69.2,70.4,70.3,69.5
,5,66.7,69.3,70.9,70.1,70.9,70.9,70.9
,6,66.5,56.3,60.3,56.3,58.3,59.9,70.6
,7,68.8,48.4,49.6,46.7,49.2,49.1,70.7
,8,68.9,47.4,49.6,47,49,50.4,70.5
,9,70.2,51.2,49.4,48.2,49.8,51.7,70.1
,10,71.5,64.4,58.6,55.1,59.6,58.4,70.1
,11,71,67.7,67.6,62.3,62.9,67.4,69.8
,12,70.4,68.2,68.1,64.1,66,66.9,69.3
,13,70.1,68.4,68.2,66.7,67.5,65.4,68.7
,14,70.2,68.8,67.7,63.6,66.2,50.6,68.6
,15,69.9,66.1,60.3,55.6,49.8,49.2,67.9
,16,70.3,56.8,48.9,47.4,53,51.6,65.2
,17,70.2,60.7,48.8,48.6,48.9,47.9,68.5
,18,66.4,61,47.4,54.2,44.8,48.5,67.2
,19,64.9,64.8,58.9,63,54.3,58.9,66.6
,20,67.3,69.1,65.1,68.2,68,68.2,68
,21,65.4,69.6,69.4,68.3,69.1,68.8,68.3
,22,67.3,69.6,70,69.3,69.2,68.3,68.3
,23,69.4,69.7,69.6,69.4,68.8,67.2,68.9
Mar,0,69.5,69.4,67.8,69.2,69.3,68.9,70.1
,1,67.7,68.3,68.1,68.6,68.5,69,70.1
,2,68.5,66.6,68,68.4,68.5,68.8,69.7
,3,69.7,67.6,68.7,68.7,68.7,68.9,69.9
,4,68.5,70.2,70.4,70.1,70.5,70.4,70.2
,5,68.2,69.6,70.8,70.8,69.4,71.3,71.3
,6,68.2,58.6,59.6,59.7,59.1,61.5,70.7
,7,68.1,49.2,48.9,49.3,50.6,50.7,70.4
,8,69.7,48.1,48.1,48.7,49.7,50.4,70.6
,9,70.8,50.4,49.2,49.2,49,55.5,70
,10,71.3,60.8,50,51.5,55.2,61.9,69.5
,11,71.7,63.9,63,64.2,63.4,67.3,69.2
,12,70.9,66.9,65.5,60.2,66.1,67.2,69.1
,13,70.6,68.1,66.5,61.8,65.2,64,68.2
,14,70.2,67.2,64.2,65.2,56.9,52.1,65.2
,15,67.7,60.7,50.7,53.2,45.8,44,66.1
,16,70.5,54.9,47.9,47.2,45.9,46.6,68.8
,17,71,51.1,45.9,46.7,42.4,53.2,68.7
,18,69.3,57.8,48.8,46.9,44.5,60,69.1
,19,69.9,69.5,64,61.7,50.8,59.9,68.7
,20,69.1,68.7,68.2,68.5,63.1,67.4,68.6
,21,69.5,69.6,68.9,69.2,65.4,68.9,68.8
,22,69.9,69.4,69.9,70.1,67.7,69.4,69.6
,23,70,67.5,69.7,70.1,69.4,70.1,69.9
