Month,Time,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
January,0,69,70.1,70.2,69.9,67.6,68.8,70.5
,1,69.3,69.7,69.6,69.8,68.3,69.6,70.4
,2,69.4,69.5,69.2,69.6,68.5,69.2,69.5
,3,69.9,70.1,70,70,69.2,69.4,70.1
,4,69.9,72.3,72,71.7,71.3,69.9,70.6
,5,71.3,71.8,72.1,72,71.6,69.6,71.2
,6,71.5,67.4,67.6,65.7,67.3,65.7,70.5
,7,70.9,58.7,61.4,59.6,59,61.4,70.4
,8,71.8,60.2,63.1,60.5,61.4,63.5,70.7
,9,71.5,66.6,61.4,65.7,64.4,66.9,70.3
,10,71.5,68.6,66.3,68.7,67.9,68.3,70
,11,70.9,69.4,68.9,69.2,68,68,69.7
,12,70.4,68.8,68.5,68.9,67.6,67.9,68.5
,13,69.9,68.6,68.3,68.3,67.4,67.9,68.1
,14,69.8,68.3,67.5,66.9,66.8,67.2,68.4
,15,70,64.3,64.4,62.9,61.5,59.8,68.2
,16,70.2,57.1,53.5,49.8,48.6,53.6,66.2
,17,69.8,50.6,54.5,45.4,45.9,50.6,62.5
,18,68.8,53.3,55.4,48.4,53.2,55.4,63.9
,19,69.3,66.4,66.8,60.1,63.6,63.5,65.3
,20,70,68.6,68.7,65.2,66.8,67.5,68.2
,21,69.1,69.3,69.4,66.2,66.5,69.3,67.9
,22,71,69.3,69.9,67.3,69.5,69.6,67
,23,71,70.7,70.4,67.6,70.4,70.3,69
Feburary,0,70.7,70.1,70.2,69.3,69,70.4,69.6
,1,70.5,69.7,69.8,69.2,68.7,69.8,69.7
,2,70.1,69.9,69.5,68.7,68.7,69.6,69.8
,3,69.8,69.9,69.9,69.9,69.4,69.9,70
,4,69.3,71.7,71.9,71.4,71.5,71.8,70.6
,5,70.6,71.5,70.8,70.9,69.5,71.8,70.9
,6,71.5,67.4,66.8,66.7,66.2,66.1,70.2
,7,71.4,59.6,60.3,57.8,59.8,62.8,70.8
,8,71.8,59.8,55.5,58.4,58.1,63.2,70.7
,9,70.6,67.1,64.7,62.5,63.8,67.5,70.6
,10,70.5,69,68.5,64.9,67.1,68.4,70.5
,11,70.2,69,68.9,68.3,67.5,68.3,69.9
,12,69.1,69,67.4,67.9,67.5,67.1,69.2
,13,69.3,68.7,62.1,68,67.9,66.9,68.7
,14,69.4,68.2,59.7,67.1,67.5,64.3,68.2
,15,69.1,65.3,55.3,59.6,59.7,54.1,68.4
,16,69.4,55.1,50.8,51.3,47.7,47.3,68.4
,17,69.5,53.4,49.1,55.2,46.5,48.9,68.1
,18,68.9,57.1,50,51.3,55.3,59.6,67.3
,19,68.5,66.8,60.7,64.1,62.1,66.3,67.5
,20,69.3,68.4,67.7,67.3,67.5,67,68.2
,21,69.8,69.4,68.1,68.8,68.7,67.2,69
,22,69.8,69.9,68.9,69,69.3,67.6,69.1
,23,70.1,70.7,69.8,68.4,70,69.1,69.9
March,0,70.6,70.5,70.1,70.3,70.2,70.1,70.5
,1,70.8,70.5,69.7,69.6,69.9,69.9,70.1
,2,70.1,70,69.3,69.5,69.8,69.3,70.3
,3,70.4,70.5,69.9,70.1,70.2,69.7,70.5
,4,70.6,72.2,72,71.9,72.1,71.3,71
,5,71.2,71.8,71.7,71.6,71.9,71.3,71.7
,6,71.2,67.6,67.2,67.2,67.8,64.5,71.3
,7,71.4,59.5,60.3,59.5,61.6,60.9,70.8
,8,71.6,56.8,56.8,57.1,59.2,62.4,70.8
,9,71.5,65.1,65.4,65.5,64.5,66.6,70.5
,10,70.2,68.9,68.3,67.8,68,67.4,70.1
,11,71,68.8,68.7,68.4,68.4,66.8,69.5
,12,69.6,68.3,68.4,68.1,68.1,66,67.4
,13,68.2,68.2,68,67.7,67.7,66.8,68
,14,67.4,66.9,66.9,66.7,65.6,66,67.9
,15,66.6,57.1,54.3,59.6,55.2,52.9,67.8
,16,68.1,45.1,44.7,48.9,47.4,48.2,68.1
,17,70,45.7,48.3,46.2,46.4,51.6,68.8
,18,70.2,48.3,51.3,47,54.4,61.7,68.9
,19,69.9,66.3,65.1,64.3,57.8,67,68.6
,20,69.1,67.9,68,68,67.3,68,68
,21,69.9,68.8,66.8,69.1,68.2,68.3,68.9
,22,70.5,69.7,67.6,70.1,69.9,68.6,69.4
,23,70.9,70.3,69.6,70.9,70.3,69.7,70
