Month,Time,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
Apr,0,49.6,48.9,47.4,48.5,48.7,48.7,49.3
,1,50.2,48.5,46.5,48.3,48.2,48.5,49.4
,2,49.9,48,47.4,47.9,47.3,48.7,49
,3,49.8,48.3,48,47.4,48.7,48.4,48
,4,50.4,49.7,49.2,48.7,49.5,49,49
,5,51.3,46.7,46.9,47,46.8,47.5,49.8
,6,51.7,43.1,41.1,41.5,41.2,40.3,49.9
,7,51.8,33.2,29.8,25.2,24.6,29.3,48.4
,8,51.8,24.6,17.2,16.3,23.6,27.3,46.8
,9,50.8,33,22.7,26.1,33,37.9,47.5
,10,49.3,43.6,38.1,39.2,42.1,43.9,47.9
,11,47.8,43.2,43.3,41.3,43.8,42.9,47
,12,45.8,43.5,45.6,43.2,44,43.8,46.9
,13,45.8,43.4,44.8,43.2,42.5,44,47.1
,14,46.1,44.5,44.4,44.9,44,44.5,46.2
,15,47,46.2,45.3,44.7,45.5,45.1,46.5
,16,47.9,46.7,47,46.9,46.6,46.1,46
,17,47.5,47.6,47.5,47,47.6,46.7,47.2
,18,47.7,47.5,47.4,48.3,48.1,47.1,47.4
,19,46.1,47.7,47.8,47.7,47.6,44.3,47.2
,20,47.9,47.8,48.3,48.2,48.2,47,47.1
,21,48.4,47.9,48.3,48.6,47.7,47.4,47.5
,22,49.5,49,49,48.9,48.5,48.2,48.5
,23,49.9,48.1,49.2,48.8,49.1,49.2,48
May,0,49.4,50.2,48.4,47.8,48.7,48.4,48.9
,1,50.1,49.2,48.2,47.8,47.9,48.3,49.1
,2,49.9,48.2,46.9,47.2,47.1,47.4,48.9
,3,49.8,48.9,47.6,47.9,48.1,48.2,48.8
,4,49.8,50.2,49.3,48.8,49.5,48.9,48.6
,5,51.1,47.1,46.8,44.9,46.8,46.9,50.2
,6,53,41.7,40.6,40.8,41.9,42.1,49.9
,7,53.1,27.1,24.9,24,24.8,31.3,49.4
,8,51.8,18.5,15.9,16.7,19.1,27.6,47.6
,9,51,33.3,24.1,25.1,28.6,41.7,47.8
,10,49.4,44.2,40.8,37.4,43.9,41.5,46.8
,11,47.2,43,43,42.1,39.8,42.9,45.6
,12,46.9,43.9,44.4,42.1,38.3,41.2,45.6
,13,46.1,43.9,44.7,41.6,38.4,42.2,45.4
,14,46.5,45.3,44.8,42.6,39.3,45,45.1
,15,45.5,45.4,45.3,44,44.1,43.8,44.4
,16,46.5,47.4,45.2,45.8,47.2,45.9,43.4
,17,46.1,47.6,45.6,46.9,47,46.1,44.4
,18,45.7,47.5,47.3,47.7,48.1,44.4,46.3
,19,43.9,48,47.9,48,47.7,44.4,46.1
,20,47.2,48.8,48.2,49.1,46.9,46.9,47.7
,21,47.8,48.2,47.4,47.9,46.3,46.7,47.5
,22,49.4,48.3,46.7,48.1,48.1,47.3,48.5
,23,49.5,48.2,47.4,48.8,48.1,47.9,49.1
Jun,0,50.1,42,48,32.9,27.5,49.4,48.8
,1,50,40.9,47.2,41.3,27.6,48.4,48.8
,2,48.8,47.1,48.4,41.1,29.9,42.6,48.4
,3,48.9,49.2,48.2,40.7,29.4,43.9,48.6
,4,49.9,50.5,49.4,41.1,47.2,48,48.1
,5,52.6,48.2,46.9,46.2,47.2,47.9,50
,6,53.9,35.8,44.2,42.5,45.5,39.1,49.6
,7,52.8,22.7,26.5,26,27.8,23.7,48.7
,8,51.5,19.4,18.1,36.8,20,22.3,46.3
,9,51,29.2,26.4,26.2,26.9,39.9,47.1
,10,49.3,43.2,41.4,37.2,31.5,43.8,46.5
,11,47.4,43.7,43,44.3,41.9,42.8,46.9
,12,47.4,44.3,44.1,43.9,44,43.8,44.7
,13,47,43,44.6,43.3,42.1,44.4,44.2
,14,44.3,43.9,45.2,42.7,40.6,41.5,43.1
,15,45.6,45.4,46,42.3,45.3,45.3,40.5
,16,45.7,45.9,48.7,43.4,44.8,43.5,43.3
,17,47.1,45.8,47.6,47,47.5,44.1,44.7
,18,46.9,46.2,46.8,46.6,46,45.8,40.5
,19,34.3,46.5,48,46.3,45.7,47.8,43.7
,20,43,47.3,42.3,40.8,47.5,49,46.4
,21,5.7,47.1,5.8,19.2,2.8,45.4,45.3
,22,7.3,48.5,5.4,21.4,0,47.4,48.2
,23,18.1,47.5,7.9,20.1,0,48.1,49.9
