Month,Time,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
Oct,0,80.1,79.9,76.2,76.3,74.3,72,76.1
,1,79.1,78,74.4,74.4,72,71.6,77.1
,2,80,76,73,73.9,71.9,68.3,76.7
,3,79.3,77.7,75.4,74.6,73.5,73,75.4
,4,80.3,80,77.8,76.7,76.5,75.8,77.8
,5,82.4,76.6,75.7,74.1,74,75.2,79.6
,6,82.7,68,65.3,66.8,63.7,62.1,78.2
,7,84.1,25.6,30.3,31.3,31.6,45.5,77.6
,8,83.9,22.6,18.9,20.7,22,26.5,78.4
,9,82.9,44.2,32.8,31.4,46.5,65.2,77.5
,10,81,71.7,67.5,71.7,70.4,73.1,78.4
,11,79.5,74,71.2,72.5,71.8,69.1,77
,12,78.2,73.4,74,74.8,68,71.3,76.8
,13,77.4,74.1,72.6,72.3,70.3,70.4,76.3
,14,76.1,74.6,74,72.5,72.2,72.5,75.8
,15,75.3,74.3,74.8,74.4,74,74.4,76.5
,16,76.2,77,77.7,76.9,76.8,74.6,77.6
,17,74.7,76.3,77.7,76.3,76.3,75,77.3
,18,75.5,76.4,77.7,74.7,76.5,75.4,77.2
,19,75.5,77.3,75.7,72.2,75.6,74.4,75.7
,20,76.5,77.5,76.3,74.9,74.7,74.5,78.3
,21,75.1,76.3,77.6,71.2,71.5,76.9,78.8
,22,77.6,77.6,77.5,75.8,72.6,77.6,79.2
,23,79.6,77.2,76.1,75.4,72.2,77.9,79.9
Nov,0,80.2,78.9,73.8,74.2,74,75.3,78.4
,1,80.3,76.1,72.4,74.2,72.7,74.6,77.6
,2,80,74.7,72.3,73.1,71.9,73,75.4
,3,79,75.1,73,72.8,73,72.4,75.9
,4,77.9,77.8,75.5,77.4,76,75.5,77.2
,5,82.4,74.2,74,74.7,74.3,73.5,80.6
,6,83.5,66.8,62.3,64.8,64.8,63.8,79.5
,7,84.9,30.8,36,33.6,44.8,47.7,78.9
,8,83.7,25.5,21.9,19.9,18.6,21.3,78.6
,9,83,49.3,42.3,24.9,26.1,49.1,77.8
,10,81.4,73.6,61,58.6,66.2,72.1,78.6
,11,79.3,74,71.7,70.9,71.4,71.4,77.9
,12,78.9,73.5,73,73,73.6,72.2,78.6
,13,76.7,76,73.9,73.4,73.4,73.2,77.2
,14,76.8,74.7,74.4,71.8,71.4,69.9,77.8
,15,76.9,76.3,73.5,71.3,73.7,75.3,76.4
,16,77.4,74,76,71.1,73.3,77,75.7
,17,73.8,75.6,74.2,70.4,72.1,75.6,74.3
,18,73.6,72.3,71.9,70,73.6,73.1,72.8
,19,76.7,75.1,74.5,70.4,74.8,73.1,72.7
,20,77.5,76.4,76.1,73.6,76.8,76,78.2
,21,79.4,77.4,77.4,75.2,77.5,77.9,78.4
,22,80.3,77.5,77.4,74.4,77.2,78.4,79.7
,23,80.1,76.4,77.9,74,77.3,78.5,80.4
Dec,0,78.5,78.7,76.6,75.5,77.7,73.9,77.9
,1,77.5,77.8,74,74.7,75.6,73.2,76.8
,2,76.9,76.4,72.5,71.9,74.1,70.5,76.1
,3,75.2,75.7,74.7,74.3,74.9,71.2,75.2
,4,76.2,78.3,77.4,77.5,77.8,73.3,76.2
,5,78.1,76.7,75.7,75,75.1,72.1,77.8
,6,78.7,66.6,63.7,61.8,65.7,68.5,76.1
,7,80.6,40.3,37.1,26.8,51,48.2,77
,8,82.3,35.4,39.8,16.6,43.6,46.9,76.3
,9,82.9,52.1,45,32.1,52.7,58.5,75.2
,10,80.9,75.3,68.9,60.7,71.3,68.8,74
,11,80.4,74,73.2,69.3,72.4,69,74.2
,12,79.6,75.2,74.6,75.4,71.8,69.5,73.6
,13,79.5,74.1,75.4,73,72.2,66.6,74.7
,14,79.1,74.4,74,74.7,71.9,71.6,74.2
,15,79.5,77,76.1,74.4,73.3,73.8,69.6
,16,78.4,76.2,75.5,76.9,76.3,75.2,74.7
,17,77.5,75.4,75.3,74.6,75.1,73.5,73.4
,18,76.4,72.4,72.2,73.5,72.2,71,71.1
,19,78.6,75.2,75.9,75.1,73.3,68.1,73.4
,20,79.9,77.1,77.4,77.9,75.3,73.6,76.2
,21,79.3,76.2,77.9,77.9,74.6,75.5,77.6
,22,80.2,77.6,78,78.9,77.1,75.9,77.9
,23,80.2,77.6,77.9,78.7,76.5,77.5,77.5
