Month,Time,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
Jul,0,77.1,68.9,69.2,73.3,74.9,67.9,76
,1,76.8,69,67.3,73,73.6,66.5,75.7
,2,76.8,71.8,67.2,70.5,73.9,66,76.3
,3,76.5,74.3,70.6,73.9,73.1,65.4,74.3
,4,74.7,76.7,74.8,75.2,75.3,72.4,73.8
,5,78.9,74.4,73.5,72.6,73.9,74.5,77.9
,6,82,68.4,62.6,67.1,67.2,70.1,74.2
,7,80.4,36.8,30.7,31.5,46.9,57.1,67.2
,8,77.7,25.6,33.1,23.4,39.1,53.6,67.1
,9,76.1,51.1,58.2,32.5,53.5,69.1,72.1
,10,75,72.5,71,62.6,68.6,71,71.8
,11,76.7,72,71,70.7,70.5,70.5,67.6
,12,78.5,71.2,72,72.1,70.1,69,66.8
,13,77.5,72.1,72,70.9,65.8,69.5,68.2
,14,76.9,72.7,73.2,70.9,69.5,72,71.7
,15,74.8,71.8,70.4,73.3,72.4,70.9,72.9
,16,75.7,71.7,74.2,74.2,73.3,73.5,74.2
,17,75.9,75.6,72.4,73.6,72.7,70.3,72.1
,18,77.6,75.9,73.1,73.7,75.7,73.7,74.2
,19,79,77.1,75.9,75.5,76.9,74.9,75.6
,20,78.3,78.1,76.5,77.1,77.8,75.5,76.5
,21,74.7,70.1,73.2,73.6,70.5,68.3,74
,22,76.7,69.9,74.1,73.4,68.8,67.7,75.4
,23,76.6,71,74,74.5,68.7,65.5,76.8
Aug,0,77.6,77.2,69.1,69.3,71.8,69.7,76.4
,1,78,76.1,68.5,69.3,70.2,71.4,74.9
,2,77.4,74.8,69.2,68.7,69.4,72.8,76.2
,3,78.4,76.8,72.7,69.7,70.2,73,75
,4,76.9,78.3,77.9,75.3,75.7,76.2,76
,5,79.7,71.3,74.6,74.6,74.7,75.8,79.2
,6,82.6,68.1,67.9,65.7,64.8,67.5,78.6
,7,84.8,32.2,38.2,32.3,28.8,51.9,79.5
,8,83.4,22.3,19.5,25,19.9,45.9,78.3
,9,82.4,39,38.1,40.4,37,65.9,77.3
,10,80.5,72.7,68.1,66.2,62.5,73.3,76.9
,11,79.1,72.8,71.7,70,70.5,71.4,76.1
,12,78.6,73.1,72.6,72.1,71,70.6,75.3
,13,76.5,72.8,73.4,71.5,71.3,67.3,74.3
,14,77.1,73.2,68.3,71.7,71.1,73.4,72.9
,15,77.5,74.1,68.5,72.4,73.2,73.8,70.8
,16,76.2,74.8,75.6,74.4,74.2,75,70.9
,17,72.3,71,75.5,74,73.1,74.7,71.5
,18,77.5,69.5,76.3,74.4,73.7,75.2,73.3
,19,75.5,75.6,76.9,75,74.6,71.3,73.5
,20,79,75.9,73.7,73.7,75.3,74.7,76.5
,21,77.4,75.7,73.3,72.1,72.5,75.3,74.7
,22,78.7,72.7,70.2,72.7,71.9,75.4,76.2
,23,78.2,71.6,69.2,72.1,72.3,74.6,77.6
Sep,0,77.3,80.2,75.9,74.7,75.2,76.3,76.8
,1,73.6,77,75.3,73.4,74.2,76.1,77.6
,2,77.7,76.6,74.2,74.2,73.6,74.3,75.2
,3,75.9,77.9,75.6,74.7,74.4,74.9,74.7
,4,75.4,80.1,76.3,78.3,77.8,76.5,76.7
,5,81.4,76.8,74.2,76,75.1,75.1,79.5
,6,82.3,67.6,68.9,67.7,66.6,68.7,78.6
,7,83.8,33.6,31.1,34.5,29.2,32,79.6
,8,83.7,22.7,19.8,20.8,21.7,35.3,79.1
,9,82.1,44.6,41.7,31.5,41.1,60.2,77.9
,10,81.1,72.2,69.6,64.4,71.9,74.1,77.2
,11,78.4,69.4,72.6,71.3,71.6,71.9,77
,12,77.7,73.5,73.1,71.1,72.2,70.9,75.5
,13,75.8,73.3,74.7,72,71.7,71.9,75.7
,14,75.9,73.1,75.1,72.7,72.6,71.8,69.6
,15,77,75.8,74,75.2,72.8,72.5,72.3
,16,77,77.4,76.1,72.9,73.1,69.3,76.5
,17,78.5,76.4,74.4,65,75.1,74.1,77.4
,18,79.6,76.9,75.7,73.7,76.2,73.6,75.5
,19,78.5,78.1,76.5,76.8,77,72.1,71
,20,77.1,76.6,71.5,76.1,75.3,68.8,70
,21,78.9,77.7,72.4,76.4,74,74,72.8
,22,79.7,76.6,76,75.8,77.4,73.4,73.1
,23,80.3,76.5,76.5,76.1,77.2,76.7,73.6
