,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg,SensorID,lat,lon
0,1193.3201110717239,802.3504490133521,642.7947536334633,622.8181023277798,778.0402871322225,1573.6188053881604,2961.350372208436,3548.5496750561265,3672.744257355548,3889.083941864587,4181.359122060735,4420.672598369373,4644.517978258301,4739.321641261964,4837.924039938555,4798.117038875103,4662.269845208554,4474.613529481271,4341.064191185159,4196.882860687699,3497.224530308401,2888.854017487888,2351.245846626492,1751.9731064634288,3144.61296255268,679006,33.896809999999995,-84.4665
0,880.832435306629,572.0502185986057,434.8776143211626,414.59239040529366,538.0558962542833,1099.4093111189884,2328.353095828902,2932.8568238213397,3014.044836346449,2987.4984993501125,3014.0395249911376,3147.023301429753,3339.2020737327193,3477.645438969633,3576.4476604041124,3648.24833392414,3669.844718185041,3602.9431820867303,3313.014604750089,2948.100401748789,2464.792467210209,2106.6263972586553,1773.1588384733545,1318.5786482334872,2358.426529697901,679109,33.88643,-84.4664
0,606.0755228642328,391.82435306628855,310.2099314663831,299.6788668320927,393.52581826775383,765.5653255346805,1536.1609122060736,1965.5380125251093,2049.958135412974,2140.3642030012993,2188.372946945528,2318.004200638072,2525.86253692544,2666.766383079287,2743.8669266217653,2826.784656741108,2927.276231832683,2866.500649887748,2518.3809228406008,2127.9256882902037,1758.6553113553116,1504.9922486116034,1269.2911260782228,921.7453976131396,1734.3052628598998,679921,33.888490000000004,-84.46273000000001
0,447.2313718539525,301.70978967269286,250.46124305801726,250.0390346212927,334.1669620701879,622.5993442041829,1093.4395131749968,1370.1302138721494,1491.8336051045733,1561.1966264917878,1601.2037929812125,1682.7975186104218,1808.7343554295167,1891.8863759896014,1999.1651069360746,2095.3076332269884,2152.241303320336,2063.423277797471,1866.4597305919888,1632.2393654732364,1332.6666253101735,1098.5077632045377,887.1993678364645,643.6778329197683,1269.9299064063175,679922,33.88986,-84.46014
0,2461.808608058608,1626.8203592106815,1233.9311355311356,1167.3872503840246,1411.9585667021151,3008.675392886683,5059.67911497105,6303.083835519317,6140.4411615266445,6248.123868604514,6317.973839064161,6477.44484225452,6898.512353775258,7445.479298121235,8043.019343022568,8701.142662176533,8937.957396904172,8851.890340304857,8297.61725747371,6966.465626846272,5883.627519792035,5160.778104691009,4390.918173224624,3497.3159754224275,5438.835501102839,893307,33.7157,-84.25111
0,2623.377998345741,1694.4492142266336,1335.4277915632754,1274.8710504549215,1434.4904052936313,3123.6885856079402,6140.231348221671,7407.07617866005,7377.923573200992,7446.393796526055,7434.409098428453,7632.228122415218,7987.057899090158,8227.05136476427,8642.987179487178,9136.353928866829,9071.128784119106,8820.657981803144,8350.407692307692,7340.968899917288,6143.794458229942,5515.004549214224,4805.43035566584,3771.8205955334993,5947.38461883099,893323,33.82764,-84.34427
0,2356.6620347394532,1466.6601323407776,1160.7458229942101,1165.3663358147228,1424.666666666667,3404.509511993383,6179.354094292804,7525.949627791562,7526.798676592227,7376.318196856905,7283.67758478081,7407.7301902398685,7768.109842845326,8076.486104218362,8558.910669975185,8876.593796526055,8705.932175351529,8729.8894127378,8241.455913978494,7212.7592224979335,6129.039371381307,5374.355996691481,4605.078329197685,3506.026964433416,5835.961528122414,893332,33.883790000000005,-84.26857
0,2467.538928276025,1651.0395781637715,1341.3030367481979,1445.0070837764385,2094.4685395249912,4624.291137894363,7201.065774548032,7770.2374335342065,8129.282724802078,8526.67744889519,8693.548357556423,8958.657497341368,9455.325824175823,9909.131123714997,10305.653196266096,10338.526367718305,10234.548960179605,10059.84808578518,9781.928092874869,8582.949840482097,6925.977242112727,5681.646159754222,4678.500850762141,3592.589389105518,6768.739278083029,893354,33.78967,-84.24671
0,2462.2431052818147,1662.3119697506797,1330.1000236322818,1446.1763854425144,2002.0060794044666,4557.36628264209,7604.489465910435,8705.082210799954,8912.027750206786,9059.264457048328,9356.252605459056,9705.146177478437,10382.352191894128,10559.212129268582,10627.089619520266,10121.94689826303,9404.098983811886,9047.727425262909,9098.453586198748,8739.35656977431,7413.357916814368,6084.660096892355,4961.789731773603,3704.382317145221,6956.12058248651,893363,33.8765,-84.24943
0,2504.6579109062977,1649.424110835401,1270.9537161762967,1280.5546082949306,1882.1451908306753,4776.995344440506,9351.4427685218,10254.497028240576,10284.594416873448,10802.132665721376,11211.349231950848,11662.473071015007,12220.0384733546,12408.181159163416,12603.199184686282,12153.956859269763,11489.05096301548,11158.439920831855,10723.768031430936,10050.377667493796,8342.269673874513,6889.138260664067,5531.258649415103,3961.02868958998,8102.580316524873,893374,33.92031,-84.3041
0,801.2330615620938,451.1179841663713,314.1492260427744,328.03873330970106,477.4718894009217,1263.2958348103516,3306.7693252983577,4054.758046791918,4067.6088857379173,3836.2872622001655,3639.321257237386,3724.621009098429,4036.5959825121113,4252.795787545788,4549.146555594942,4871.797654496042,5076.736240103984,5096.357757296467,4707.113251801961,3742.3948658868017,2888.3209204773725,2320.328535980149,1804.3932529835754,1262.6897258655326,2953.0559602583794,893383,33.811170000000004,-84.26106999999999
0,1518.4915632754346,953.6940978376462,723.1833451494742,800.7001240694789,1162.820489188231,2708.9265804088386,4878.462720075624,5591.823655913979,5749.970713694906,5586.219029894836,5361.500561266691,5409.384721729884,5739.575044310529,6076.136559139786,6461.526231832684,6870.240358029068,7030.550620347392,6908.316335814723,6601.350508094057,5657.04426917169,4572.078482807516,3759.023543660641,3120.89358974359,2315.424636653669,4398.222407587932,893385,33.82033,-84.24245
0,103.2501063452676,91.15822403403048,96.18004844617744,133.6021800779865,149.57349048800663,263.2757946354721,299.86878766394886,331.1838532435307,413.74123833156096,277.8336228287841,250.0840895663476,266.50099846390174,276.371003190358,281.45745007680495,319.1691894127378,374.2119933829611,366.503704360156,354.85571901217065,327.57949308755764,278.2126964433416,227.3148056244831,201.55332033557843,207.12365591397847,148.34490133522394,251.622931929182,899014,33.89111,-84.25655
0,15.885720193784712,10.776385442514476,8.208980267044783,9.363765804088382,16.404844617747845,60.01934893063925,158.9452853598015,181.71766513056838,194.79819213045016,200.355612666903,231.5674937965261,255.0463251801961,258.32798062152904,245.09797943991487,224.03914687463075,182.5328547796289,146.06897672220254,151.18367600141795,144.66001417936903,133.1837705305447,93.88990901571545,57.46977431170979,39.20132340777503,27.41584544487771,126.92336961873251,899105,33.91324,-84.2873
0,783.4964728819568,555.0545905707196,464.177324825712,493.71064043483415,575.0842845326716,943.2062152900863,1422.1230591988653,1884.0652310055532,2170.6566583953686,2203.899468273662,2201.2380716058133,2302.0740753869786,2401.712052463665,2367.4130272952852,2198.317777383906,1893.1088502894959,1625.1983516483515,1473.86977431171,1634.2446886446887,1929.0827661585724,1774.8891173342786,1511.0894777265744,1308.1480267044785,1098.0826657213754,1550.5809445035252,899118,33.88593,-84.25223000000001
0,436.1177629193202,308.0462282063505,260.0541189437185,273.89012639196164,447.8542721460963,1263.7964671776128,1958.395832365632,1609.2956229347215,1497.6584232786124,1646.101748992572,1956.2061566168347,2088.953574993787,2109.504333467793,2094.842935577585,2070.3735153426474,2014.864735338818,1931.5876596706964,1939.167129125972,1832.6498800050524,1607.3938352341022,1356.9127247613346,1123.940869993929,909.5211240002119,665.7788415699982,1391.7878299606402,899611,33.89369,-84.2595
